model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0001,600,0.3,Adam,"[0.4603, 0.0066]","[0.4119, 0.006]","[0.3757, 0.0056]","[0.5325, 0.0077]","[0.6894, 0.0051]","[0.3513, 0.0058]","[0.2936, 0.0052]","[0.2512, 0.0047]","[0.4519, 0.0069]","[0.4511, 0.0068]","[0.656, 0.0066]","[0.7862, 0.0055]","[0.868, 0.0044]","[0.4605, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0005,600,0.3,Adam,"[0.4708, 0.0067]","[0.4209, 0.0062]","[0.3838, 0.0058]","[0.5456, 0.0078]","[0.7004, 0.0051]","[0.3587, 0.006]","[0.2995, 0.0054]","[0.2562, 0.0049]","[0.4611, 0.007]","[0.4594, 0.0068]","[0.6637, 0.0065]","[0.7948, 0.0054]","[0.8785, 0.0043]","[0.4689, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.001,600,0.3,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0001,600,0.3,Adam,"[0.4021, 0.0061]","[0.3623, 0.0055]","[0.3327, 0.0051]","[0.4623, 0.0075]","[0.6221, 0.0053]","[0.3139, 0.0052]","[0.2652, 0.0046]","[0.2313, 0.0042]","[0.3939, 0.0065]","[0.3957, 0.0064]","[0.5957, 0.0069]","[0.7232, 0.0061]","[0.812, 0.0053]","[0.3999, 0.0069]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0005,600,0.3,Adam,"[0.4568, 0.0066]","[0.4081, 0.006]","[0.372, 0.0056]","[0.5298, 0.0077]","[0.6813, 0.0051]","[0.3476, 0.0058]","[0.2893, 0.0051]","[0.2483, 0.0046]","[0.4487, 0.0069]","[0.441, 0.0067]","[0.6484, 0.0066]","[0.7759, 0.0056]","[0.8601, 0.0046]","[0.4579, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.001,600,0.3,Adam,"[0.4305, 0.0065]","[0.3829, 0.0059]","[0.3494, 0.0055]","[0.5107, 0.0078]","[0.6476, 0.0052]","[0.3214, 0.0055]","[0.2693, 0.0049]","[0.2369, 0.0045]","[0.4061, 0.0069]","[0.4053, 0.0065]","[0.6007, 0.0066]","[0.7208, 0.0059]","[0.8222, 0.005]","[0.3949, 0.0067]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0001,600,0.3,Adam,"[0.3113, 0.0058]","[0.2869, 0.0051]","[0.2684, 0.0047]","[0.3474, 0.0073]","[0.5107, 0.0053]","[0.2576, 0.0047]","[0.2267, 0.0042]","[0.2048, 0.0039]","[0.3093, 0.0059]","[0.299, 0.006]","[0.4879, 0.007]","[0.6174, 0.0067]","[0.722, 0.0061]","[0.3131, 0.0068]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0005,600,0.3,Adam,"[0.428, 0.0065]","[0.3837, 0.0059]","[0.3509, 0.0054]","[0.497, 0.0078]","[0.6466, 0.0052]","[0.3295, 0.0055]","[0.2758, 0.0048]","[0.2387, 0.0044]","[0.416, 0.0068]","[0.414, 0.0065]","[0.6147, 0.0067]","[0.742, 0.0059]","[0.8329, 0.005]","[0.4138, 0.0068]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.001,600,0.3,Adam,"[0.2122, 0.0044]","[0.2069, 0.004]","[0.2, 0.0037]","[0.2374, 0.0056]","[0.4065, 0.0048]","[0.195, 0.004]","[0.1904, 0.0036]","[0.1742, 0.0033]","[0.1967, 0.0044]","[0.2097, 0.0051]","[0.3673, 0.007]","[0.5356, 0.0071]","[0.6367, 0.0066]","[0.197, 0.0058]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0001,600,0.3,Adam,"[0.2583, 0.0053]","[0.2427, 0.0047]","[0.2311, 0.0044]","[0.2825, 0.0067]","[0.4507, 0.0051]","[0.2231, 0.0044]","[0.2049, 0.004]","[0.191, 0.0038]","[0.2553, 0.0055]","[0.2532, 0.0056]","[0.4157, 0.007]","[0.5528, 0.0069]","[0.6702, 0.0064]","[0.2515, 0.0064]"
