model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.467, 0.0067]","[0.4178, 0.0062]","[0.3812, 0.0058]","[0.5399, 0.0078]","[0.6954, 0.0051]","[0.3559, 0.006]","[0.2981, 0.0053]","[0.2549, 0.0048]","[0.4605, 0.0071]","[0.4542, 0.0068]","[0.6593, 0.0065]","[0.7924, 0.0055]","[0.8761, 0.0043]","[0.4634, 0.007]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.4656, 0.0067]","[0.4166, 0.0061]","[0.3798, 0.0058]","[0.5384, 0.0078]","[0.6924, 0.0052]","[0.3542, 0.006]","[0.2972, 0.0053]","[0.2529, 0.0048]","[0.457, 0.007]","[0.4515, 0.0068]","[0.6564, 0.0065]","[0.7904, 0.0055]","[0.8691, 0.0045]","[0.4641, 0.007]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.5,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.5,Adam,"[0.4121, 0.0062]","[0.371, 0.0056]","[0.3402, 0.0052]","[0.4748, 0.0075]","[0.6341, 0.0052]","[0.3202, 0.0053]","[0.2701, 0.0048]","[0.2342, 0.0043]","[0.4064, 0.0065]","[0.4039, 0.0065]","[0.6109, 0.0068]","[0.7329, 0.006]","[0.8207, 0.0051]","[0.4194, 0.0071]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.5,Adam,"[0.4462, 0.0065]","[0.3992, 0.0059]","[0.3644, 0.0055]","[0.5182, 0.0077]","[0.6709, 0.0052]","[0.3403, 0.0057]","[0.2849, 0.005]","[0.2456, 0.0046]","[0.4348, 0.0069]","[0.432, 0.0067]","[0.6368, 0.0066]","[0.7651, 0.0057]","[0.851, 0.0048]","[0.4382, 0.0069]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.5,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.5,Adam,"[0.3039, 0.0058]","[0.2814, 0.0052]","[0.2644, 0.0048]","[0.3375, 0.0073]","[0.4998, 0.0052]","[0.2544, 0.0047]","[0.2266, 0.0042]","[0.2055, 0.0039]","[0.3024, 0.006]","[0.2843, 0.0059]","[0.4752, 0.0071]","[0.6152, 0.0068]","[0.7227, 0.0061]","[0.2908, 0.0065]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.5,Adam,"[0.3947, 0.0061]","[0.3554, 0.0055]","[0.3267, 0.0051]","[0.4579, 0.0074]","[0.6164, 0.0052]","[0.3058, 0.0051]","[0.2602, 0.0045]","[0.2287, 0.0042]","[0.3753, 0.0064]","[0.3814, 0.0063]","[0.5763, 0.0068]","[0.7081, 0.0062]","[0.8071, 0.0052]","[0.3742, 0.0067]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.5,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.5,Adam,"[0.2034, 0.0053]","[0.2046, 0.0048]","[0.2037, 0.0045]","[0.2, 0.0063]","[0.4011, 0.0047]","[0.2074, 0.0046]","[0.2054, 0.0042]","[0.1976, 0.004]","[0.2031, 0.0055]","[0.1976, 0.0052]","[0.3567, 0.0068]","[0.5304, 0.0069]","[0.6702, 0.0065]","[0.1726, 0.0053]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0005,300,0.5,Adam,"[0.1851, 0.0051]","[0.1767, 0.0046]","[0.1725, 0.0043]","[0.2032, 0.0063]","[0.3283, 0.0051]","[0.1621, 0.0043]","[0.1595, 0.004]","[0.1603, 0.0038]","[0.1785, 0.0051]","[0.1748, 0.0049]","[0.2491, 0.0056]","[0.3664, 0.0063]","[0.5024, 0.0068]","[0.145, 0.0047]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.001,300,0.5,Adam,"[0.1338, 0.0042]","[0.1468, 0.0041]","[0.1541, 0.004]","[0.1078, 0.0045]","[0.3126, 0.0043]","[0.167, 0.0045]","[0.1751, 0.0042]","[0.1755, 0.0039]","[0.1406, 0.0046]","[0.1486, 0.0046]","[0.2524, 0.0057]","[0.4129, 0.0068]","[0.5708, 0.007]","[0.1083, 0.0041]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,300,0.5,Adam,"[0.134, 0.0046]","[0.1361, 0.0041]","[0.1395, 0.0039]","[0.1349, 0.0056]","[0.2827, 0.0045]","[0.1351, 0.0039]","[0.1442, 0.0037]","[0.1538, 0.0036]","[0.1305, 0.0047]","[0.1279, 0.0042]","[0.2049, 0.0054]","[0.3358, 0.0064]","[0.492, 0.0069]","[0.0945, 0.0038]"
