model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
S-E-CDE-VAE,200,0.0001,0.0001,1.0,1.0,1.0,,0.0001,600,0.5,Adam,"[0.4609, 0.0066]","[0.4125, 0.006]","[0.3761, 0.0056]","[0.5342, 0.0078]","[0.6892, 0.0051]","[0.3531, 0.0059]","[0.2939, 0.0052]","[0.2509, 0.0047]","[0.4494, 0.007]","[0.4509, 0.0068]","[0.6594, 0.0065]","[0.7871, 0.0055]","[0.867, 0.0045]","[0.4561, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,1.0,0.1,1.0,,0.0001,600,0.5,Adam,"[0.4732, 0.0068]","[0.4232, 0.0062]","[0.3857, 0.0058]","[0.5476, 0.0078]","[0.7026, 0.0051]","[0.3614, 0.0061]","[0.3011, 0.0054]","[0.2568, 0.0049]","[0.4662, 0.0071]","[0.4629, 0.0069]","[0.6681, 0.0065]","[0.7992, 0.0054]","[0.8807, 0.0042]","[0.4728, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,1.0,0.001,1.0,,0.0001,600,0.5,Adam,"[0.4732, 0.0068]","[0.4234, 0.0062]","[0.3859, 0.0059]","[0.5475, 0.0079]","[0.7013, 0.0051]","[0.3615, 0.0061]","[0.3013, 0.0054]","[0.2567, 0.0049]","[0.4663, 0.0071]","[0.4598, 0.0068]","[0.6672, 0.0065]","[0.7987, 0.0054]","[0.8797, 0.0042]","[0.472, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,1.0,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.4727, 0.0068]","[0.4232, 0.0062]","[0.3858, 0.0059]","[0.546, 0.0078]","[0.7012, 0.0051]","[0.362, 0.0061]","[0.3018, 0.0054]","[0.2568, 0.0049]","[0.4655, 0.0071]","[0.4601, 0.0068]","[0.6679, 0.0065]","[0.8005, 0.0054]","[0.8791, 0.0043]","[0.4712, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,1.0,1.0,,0.0001,600,0.5,Adam,"[0.4004, 0.0062]","[0.3593, 0.0055]","[0.3289, 0.0051]","[0.4645, 0.0075]","[0.6114, 0.0053]","[0.3082, 0.0052]","[0.2587, 0.0046]","[0.2258, 0.0042]","[0.3918, 0.0064]","[0.3878, 0.0064]","[0.5825, 0.0068]","[0.7006, 0.0063]","[0.7911, 0.0055]","[0.4005, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.1,1.0,,0.0001,600,0.5,Adam,"[0.4617, 0.0066]","[0.4126, 0.006]","[0.376, 0.0057]","[0.5362, 0.0078]","[0.6881, 0.0051]","[0.3522, 0.0058]","[0.2927, 0.0052]","[0.2503, 0.0047]","[0.4525, 0.0069]","[0.45, 0.0067]","[0.6579, 0.0065]","[0.7832, 0.0056]","[0.8647, 0.0045]","[0.4613, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.001,1.0,,0.0001,600,0.5,Adam,"[0.4725, 0.0068]","[0.4229, 0.0063]","[0.3856, 0.0059]","[0.5458, 0.0079]","[0.7008, 0.0051]","[0.3614, 0.0061]","[0.3014, 0.0054]","[0.257, 0.0049]","[0.4655, 0.0071]","[0.4595, 0.0068]","[0.666, 0.0065]","[0.7991, 0.0054]","[0.879, 0.0043]","[0.4709, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.1,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.473, 0.0068]","[0.4233, 0.0062]","[0.3859, 0.0059]","[0.5465, 0.0078]","[0.7016, 0.0051]","[0.362, 0.0061]","[0.3009, 0.0054]","[0.2568, 0.0049]","[0.4659, 0.0071]","[0.4609, 0.0068]","[0.6685, 0.0064]","[0.7982, 0.0054]","[0.8798, 0.0042]","[0.4713, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,1.0,1.0,,0.0001,600,0.5,Adam,"[0.1729, 0.005]","[0.171, 0.0045]","[0.1696, 0.0042]","[0.1758, 0.0061]","[0.3272, 0.0048]","[0.1688, 0.0043]","[0.1663, 0.0039]","[0.1643, 0.0037]","[0.174, 0.0053]","[0.1669, 0.0048]","[0.2728, 0.0062]","[0.4047, 0.0068]","[0.5371, 0.0069]","[0.1379, 0.0046]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.1,1.0,,0.0001,600,0.5,Adam,"[0.2871, 0.0056]","[0.2666, 0.005]","[0.2515, 0.0046]","[0.3193, 0.0071]","[0.485, 0.0052]","[0.2407, 0.0046]","[0.2169, 0.0042]","[0.1995, 0.0039]","[0.2799, 0.0057]","[0.2788, 0.006]","[0.4499, 0.007]","[0.584, 0.0068]","[0.6976, 0.0061]","[0.2782, 0.0066]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0001,600,0.5,Adam,"[0.4605, 0.0066]","[0.4121, 0.006]","[0.3758, 0.0056]","[0.5331, 0.0077]","[0.6894, 0.0051]","[0.3529, 0.0058]","[0.2939, 0.0052]","[0.251, 0.0047]","[0.4521, 0.0069]","[0.4521, 0.0068]","[0.6597, 0.0065]","[0.7866, 0.0055]","[0.8678, 0.0044]","[0.4606, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.4721, 0.0068]","[0.4225, 0.0062]","[0.3852, 0.0058]","[0.5458, 0.0078]","[0.7012, 0.0051]","[0.3616, 0.0061]","[0.3006, 0.0054]","[0.2566, 0.0049]","[0.4642, 0.0071]","[0.4607, 0.0068]","[0.669, 0.0064]","[0.7994, 0.0053]","[0.8796, 0.0042]","[0.4703, 0.007]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,600,0.5,Adam,"[0.209, 0.005]","[0.1972, 0.0044]","[0.1894, 0.004]","[0.2289, 0.0064]","[0.3727, 0.0051]","[0.1813, 0.0039]","[0.1695, 0.0036]","[0.1638, 0.0034]","[0.2049, 0.0051]","[0.204, 0.0052]","[0.3325, 0.0069]","[0.4512, 0.007]","[0.5656, 0.0068]","[0.199, 0.006]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,600,0.5,Adam,"[0.1873, 0.0051]","[0.185, 0.0046]","[0.1828, 0.0043]","[0.1891, 0.0062]","[0.3539, 0.0048]","[0.1829, 0.0044]","[0.1786, 0.004]","[0.1749, 0.0038]","[0.1894, 0.0053]","[0.1837, 0.005]","[0.3046, 0.0063]","[0.4456, 0.0069]","[0.5778, 0.0067]","[0.1588, 0.0051]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,600,0.5,Adam,"[0.3914, 0.0062]","[0.3523, 0.0055]","[0.3237, 0.0051]","[0.4515, 0.0076]","[0.6013, 0.0052]","[0.3034, 0.0052]","[0.2574, 0.0046]","[0.226, 0.0043]","[0.3853, 0.0064]","[0.3788, 0.0063]","[0.5749, 0.0068]","[0.6958, 0.0062]","[0.788, 0.0055]","[0.3923, 0.0069]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.4582, 0.0066]","[0.4101, 0.006]","[0.3741, 0.0056]","[0.5303, 0.0077]","[0.6848, 0.0051]","[0.3507, 0.0058]","[0.2921, 0.0052]","[0.2501, 0.0047]","[0.4487, 0.0069]","[0.4468, 0.0067]","[0.6545, 0.0065]","[0.78, 0.0056]","[0.8647, 0.0045]","[0.4542, 0.007]"
