F-MAP@5,F-MAP@10,F-MAP@20,model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,learning_rate,epoch,corruption,optimizer
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.05999999999999994,0.013333333333333308,-0.01047093837535018,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.2566666666666666,0.1617857142857143,0.023454655080042075,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.033611111111111036,-0.04774412571432696,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.06666666666666665,0.011388888888888893,0.08511935347074659,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.009999999999999898,-0.07246326471945663,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.039999999999999925,0.020000000000000018,0.03889311561331696,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.10666666666666658,-0.10678571428571426,-0.141738063707878,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.040000000000000036,-0.019999999999999907,-0.009999999999999898,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.007909356725146033,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09,0.10956349206349207,0.10136471565070637,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.033611111111111036,-0.013441653375864115,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.11666666666666659,-0.16079365079365093,-0.12118699712739966,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.10817460317460315,0.1273826968525111,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.11246031746031751,0.09359083017945252,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09999999999999998,0.03749999999999998,0.0344332750582752,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.12625189116868663,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.05219846007965179,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.1499999999999999,0.053888888888888875,-0.03226224132764388,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.02098375888817061,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.005131578947368421,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.024726448946650437,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.10999999999999999,-0.009563492063492163,-0.027369782994782987,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.7633333333333333,-0.4351190476190477,-0.37541205698326446,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09999999999999998,0.17246031746031748,0.2032542455394621,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0645634920634921,0.03741332497911454,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.07150793650793674,0.07387202559222683,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.09000000000000008,-0.19841269841269837,-0.16721035908535908,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.21666666666666667,0.07293650793650808,0.021129148629148664,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.15666666666666662,0.18634920634920638,0.15648031492071734,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.040000000000000036,-0.1424603174603174,-0.13474559646579776,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.09000000000000008,-0.10956349206349214,-0.035669127698926495,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.02639311561331692,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.29,0.2474603174603174,0.15428748732347802,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.026393115613316857,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.08999999999999997,0.16412698412698418,0.12385259541799792,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09999999999999998,-0.041507936507936716,-0.08874361233881345,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.043452380952380965,0.0052902783920585755,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.010000000000000009,-0.039756210851412344,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.022499999999999964,0.04336181577280651,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.20000000000000007,0.1267857142857144,0.05289440242420118,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.4466666666666667,0.3667460317460317,0.3024148510158572,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.3,0.18111111111111106,0.1271528909686805,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.007909356725146366,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.040000000000000036,-0.019999999999999907,-0.009999999999999898,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.09,-0.011388888888888893,0.027744125714326953,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.02111111111111108,-0.021567429603420396,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.11666666666666664,0.0627777777777778,0.06712132531211479,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.06666666666666654,0.1669047619047619,0.2512313561481517,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.0022938662644544916,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.010000000000000009,-0.013712121212121176,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.010000000000000009,-0.033306991211403125,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.1,-0.006388888888888916,0.08650963501582698,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.009999999999999953,-0.0615005520365427,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.24999999999999994,0.17956349206349204,0.10903505700525812,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.011111111111111072,-0.02153766769865839,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.15666666666666662,0.10373015873015878,0.07045937099536165,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.41333333333333333,0.3257936507936508,0.2362478521650348,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.29,0.16611111111111104,0.1360173516713763,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.16666666666666663,0.052380952380952306,0.11297083313143697,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.02111111111111097,-0.035663246067657695,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.006904761904761969,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.050000000000000044,-0.02499999999999991,0.0002609582969491653,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.2566666666666666,0.17178571428571432,0.07347527472527471,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.21666666666666656,0.20400793650793647,0.20967128030208515,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.06666666666666654,-0.033333333333333326,-0.008757309941520575,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.15666666666666662,0.09944444444444445,0.08492872323754674,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.040000000000000036,-0.02000000000000013,-0.003522267206477747,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.050000000000000044,-0.025000000000000022,-0.023350533195734324,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.07706349206349228,0.06077395342875225,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.06456349206349199,0.008901450931249832,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.03095238095238096,-0.02008278486219664,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.15666666666666665,-0.13039682539682537,-0.13491326569886936,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.11666666666666659,-0.05833333333333335,-0.029166666666666674,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.0367857142857142,-0.03556422743922738,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.4066666666666666,0.253611111111111,0.17305166539686656,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.11246031746031748,0.1140641251593264,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.2566666666666666,0.1928968253968254,0.14531738578758702,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.013975533195734635,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.003958333333333286,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.05472222222222212,-0.06686585774047071,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.04999999999999993,0.029166666666666563,0.08337335243875499,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.11666666666666659,0.044047619047619224,0.00599372333892445,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.45666666666666667,0.3198412698412697,0.32876439393080237,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.011111111111111072,-0.026175272740675104,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.02111111111111108,0.04149412571432709,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.03345238095238112,-0.03978597275617368,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.0008027644869751382,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09,0.08527777777777779,0.06265528180969357,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.30000000000000004,0.21456349206349212,0.151115307121499,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.040000000000000036,-0.05095238095238097,-0.050202639422840534,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.15666666666666668,0.06138888888888888,0.032832856428057666,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.012499999999999956,0.0008687584345479227,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.040000000000000036,0.10567460317460298,0.11638110857151107,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.011111111111111113,0.04424636831177084,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.10666666666666658,0.06317460317460333,0.0067612351958327155,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.1,-0.05999999999999997,0.022404989661181568,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.04428910335450583,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.2066666666666667,0.26607142857142857,0.20345371432832732,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0025000000000000577,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.029166666666666785,0.04777084821782962,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.004444444444444251,0.011753310973512177,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.09000000000000008,0.05761904761904768,0.10232276194737489,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.35,0.19611111111111112,0.09542397660818719,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.5066666666666666,0.3681746031746031,0.3473169758947623,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.20000000000000007,0.0955555555555555,0.06987100103199162,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.040000000000000036,0.02000000000000013,0.00955882352941173,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09000000000000002,0.07861111111111108,0.11103290478870986,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09000000000000008,0.040555555555555456,0.012511169386169363,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.042063492063492025,-0.006495405179615665,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.013843700159489658,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.21666666666666665,-0.10833333333333334,-0.05416666666666664,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.09000000000000008,-0.03650793650793649,-0.0997063250217275,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.6533333333333333,-0.48690476190476195,-0.3464739710753642,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.06666666666666654,-0.00027777777777759916,-0.04005379918499108,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.040000000000000036,0.17273809523809514,0.10413484906905957,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.21666666666666656,0.10833333333333339,0.11746326471945656,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,-0.07567460317460317,-0.05777774706373773,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.040000000000000036,-0.08456349206349201,-0.0678109594653713,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.6233333333333333,0.41968253968253993,0.20121256302177365,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.08999999999999997,0.08277777777777784,0.10622057466097706,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.07567460317460317,0.07939520854962032,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.13000000000000012,-0.12956349206349216,-0.11219584938625182,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,-0.02639311561331692,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
-0.09000000000000008,-0.06166666666666676,-0.02806106174527212,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.0,0.0,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.2,0.14095238095238088,0.1269439740685871,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.004285714285714115,0.008966419502410172,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.15000000000000002,0.027103174603174573,0.06994892963933197,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.05000000000000002,0.036111111111111094,0.0031401727357610043,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.13,0.17301587301587298,0.13832680176720422,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.040000000000000036,0.1535714285714287,0.18168656184716558,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
0.0,0.045396825396825546,0.06495256785697956,E-CDE-VAE,200,0.0,0.01,1,1,1,0.0001,600,0.4,Adam
