model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0001,600,0.3,Adam,"[0.0564, 0.0028]","[0.0507, 0.0023]","[0.0465, 0.002]","[0.0645, 0.0037]","[0.0338, 0.0013]","[0.1425, 0.0046]","[0.044, 0.0019]","[0.0369, 0.0015]","[0.0324, 0.0012]","[0.0554, 0.0028]","[0.021, 0.0007]","[0.0566, 0.0034]","[0.1252, 0.0057]","[0.1548, 0.0063]","[0.1797, 0.0068]","[0.0807, 0.0047]","[0.2812, 0.0079]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0005,600,0.3,Adam,"[0.0531, 0.0027]","[0.048, 0.0022]","[0.0441, 0.002]","[0.0611, 0.0037]","[0.0322, 0.0012]","[0.136, 0.0045]","[0.0412, 0.0018]","[0.0352, 0.0014]","[0.031, 0.0012]","[0.0519, 0.0027]","[0.02, 0.0007]","[0.0532, 0.0033]","[0.1177, 0.0056]","[0.1489, 0.0063]","[0.1734, 0.0067]","[0.0749, 0.0045]","[0.2701, 0.0078]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.001,600,0.3,Adam,"[0.0088, 0.0011]","[0.0083, 0.0009]","[0.0079, 0.0008]","[0.0094, 0.0015]","[0.0065, 0.0005]","[0.0258, 0.0017]","[0.008, 0.0008]","[0.007, 0.0006]","[0.0065, 0.0005]","[0.0084, 0.0011]","[0.005, 0.0003]","[0.0071, 0.001]","[0.019, 0.0022]","[0.0252, 0.0026]","[0.0317, 0.0029]","[0.0092, 0.0014]","[0.0593, 0.004]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0001,600,0.3,Adam,"[0.056, 0.0028]","[0.0505, 0.0023]","[0.0463, 0.002]","[0.0643, 0.0038]","[0.0336, 0.0013]","[0.1412, 0.0046]","[0.0435, 0.0019]","[0.0367, 0.0015]","[0.0322, 0.0012]","[0.0557, 0.0028]","[0.0208, 0.0007]","[0.0557, 0.0034]","[0.1235, 0.0057]","[0.1542, 0.0063]","[0.1776, 0.0067]","[0.0817, 0.0047]","[0.2779, 0.0079]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0005,600,0.3,Adam,"[0.0538, 0.0028]","[0.0484, 0.0023]","[0.0444, 0.002]","[0.0622, 0.0037]","[0.0324, 0.0012]","[0.1369, 0.0045]","[0.0419, 0.0018]","[0.0353, 0.0014]","[0.0311, 0.0012]","[0.0526, 0.0028]","[0.0202, 0.0007]","[0.054, 0.0034]","[0.1192, 0.0056]","[0.1479, 0.0062]","[0.173, 0.0066]","[0.0752, 0.0045]","[0.272, 0.0079]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.001,600,0.3,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0001,600,0.3,Adam,"[0.0563, 0.0028]","[0.0506, 0.0023]","[0.0464, 0.002]","[0.0646, 0.0038]","[0.0337, 0.0012]","[0.1418, 0.0046]","[0.0438, 0.0018]","[0.0367, 0.0014]","[0.0322, 0.0012]","[0.0561, 0.0028]","[0.0207, 0.0007]","[0.0561, 0.0034]","[0.1253, 0.0058]","[0.1539, 0.0063]","[0.1784, 0.0067]","[0.0816, 0.0047]","[0.2797, 0.0079]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0005,600,0.3,Adam,"[0.0539, 0.0027]","[0.0484, 0.0023]","[0.0444, 0.002]","[0.0627, 0.0037]","[0.0323, 0.0012]","[0.137, 0.0046]","[0.0412, 0.0018]","[0.0349, 0.0014]","[0.031, 0.0012]","[0.0526, 0.0028]","[0.02, 0.0007]","[0.0546, 0.0034]","[0.118, 0.0056]","[0.1472, 0.0062]","[0.1724, 0.0067]","[0.0771, 0.0046]","[0.2694, 0.0079]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.0001,600,0.3,Adam,"[0.0564, 0.0028]","[0.0508, 0.0023]","[0.0467, 0.002]","[0.0645, 0.0037]","[0.034, 0.0013]","[0.1426, 0.0046]","[0.0442, 0.0019]","[0.0372, 0.0015]","[0.0328, 0.0013]","[0.0565, 0.0028]","[0.021, 0.0007]","[0.0566, 0.0034]","[0.124, 0.0057]","[0.1556, 0.0063]","[0.1809, 0.0067]","[0.082, 0.0047]","[0.2828, 0.0079]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.0005,600,0.3,Adam,"[0.0538, 0.0027]","[0.0484, 0.0023]","[0.0446, 0.002]","[0.0616, 0.0037]","[0.0325, 0.0012]","[0.1366, 0.0045]","[0.0419, 0.0018]","[0.0355, 0.0014]","[0.0315, 0.0012]","[0.0526, 0.0027]","[0.0201, 0.0007]","[0.0541, 0.0034]","[0.1181, 0.0056]","[0.1495, 0.0062]","[0.1752, 0.0066]","[0.0755, 0.0045]","[0.2711, 0.0078]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.001,600,0.3,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.01,1,,0.0001,600,0.3,Adam,"[0.0513, 0.0026]","[0.0465, 0.0022]","[0.043, 0.0019]","[0.0586, 0.0036]","[0.0316, 0.0012]","[0.1328, 0.0045]","[0.0404, 0.0018]","[0.0347, 0.0014]","[0.0312, 0.0012]","[0.0506, 0.0027]","[0.0198, 0.0007]","[0.0523, 0.0033]","[0.1147, 0.0055]","[0.1449, 0.0061]","[0.1716, 0.0066]","[0.074, 0.0045]","[0.2645, 0.0078]"
CE-VAE,100,0.0001,0.0001,0.01,0.01,1,,0.0005,600,0.3,Adam,"[0.0487, 0.0026]","[0.0439, 0.0022]","[0.0404, 0.0019]","[0.0562, 0.0035]","[0.0296, 0.0012]","[0.1234, 0.0043]","[0.0381, 0.0018]","[0.0323, 0.0014]","[0.0287, 0.0012]","[0.048, 0.0026]","[0.0184, 0.0007]","[0.0493, 0.0032]","[0.1067, 0.0053]","[0.134, 0.0059]","[0.1579, 0.0064]","[0.0694, 0.0044]","[0.2428, 0.0075]"
CE-VAE,100,0.0001,0.0001,0.01,0.01,1,,0.001,600,0.3,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.1,0.1,1,,0.0001,600,0.3,Adam,"[0.0445, 0.0025]","[0.0403, 0.002]","[0.0374, 0.0018]","[0.0506, 0.0033]","[0.0279, 0.0011]","[0.1181, 0.0042]","[0.0353, 0.0017]","[0.0304, 0.0013]","[0.0274, 0.0011]","[0.0444, 0.0025]","[0.0183, 0.0007]","[0.0457, 0.0031]","[0.1006, 0.0053]","[0.1278, 0.0058]","[0.1508, 0.0063]","[0.0648, 0.0042]","[0.2404, 0.0075]"
CE-VAE,100,0.0001,0.0001,0.1,0.1,1,,0.0005,600,0.3,Adam,"[0.029, 0.002]","[0.0265, 0.0016]","[0.0247, 0.0014]","[0.0323, 0.0027]","[0.0189, 0.0009]","[0.0794, 0.0034]","[0.0234, 0.0013]","[0.0206, 0.0011]","[0.0184, 0.0009]","[0.0288, 0.002]","[0.0129, 0.0005]","[0.0297, 0.0025]","[0.0656, 0.0042]","[0.0852, 0.0048]","[0.0999, 0.0051]","[0.0397, 0.0033]","[0.167, 0.0064]"
CE-VAE,100,0.0001,0.0001,0.1,0.1,1,,0.001,600,0.3,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,100,0.0001,0.0001,1,1,1,,0.0001,600,0.3,Adam,"[0.0356, 0.0022]","[0.0326, 0.0018]","[0.0302, 0.0016]","[0.0398, 0.003]","[0.0227, 0.001]","[0.0964, 0.0038]","[0.029, 0.0015]","[0.0248, 0.0012]","[0.0222, 0.001]","[0.0353, 0.0022]","[0.0151, 0.0006]","[0.0351, 0.0027]","[0.0807, 0.0046]","[0.1026, 0.0052]","[0.1225, 0.0057]","[0.0504, 0.0037]","[0.2005, 0.007]"
CE-VAE,100,0.0001,0.0001,1,1,1,,0.0005,600,0.3,Adam,"[0.0233, 0.0017]","[0.0218, 0.0014]","[0.0205, 0.0012]","[0.0253, 0.0023]","[0.0162, 0.0008]","[0.0689, 0.0031]","[0.0199, 0.0012]","[0.018, 0.001]","[0.0163, 0.0008]","[0.0239, 0.0018]","[0.0113, 0.0005]","[0.024, 0.0022]","[0.0557, 0.0039]","[0.0747, 0.0045]","[0.0893, 0.0049]","[0.0337, 0.003]","[0.151, 0.0062]"
CE-VAE,100,0.0001,0.0001,1,1,1,,0.001,600,0.3,Adam,"[0.0214, 0.0017]","[0.0198, 0.0014]","[0.0186, 0.0012]","[0.0238, 0.0023]","[0.0146, 0.0008]","[0.0639, 0.0031]","[0.018, 0.0012]","[0.016, 0.0009]","[0.0146, 0.0008]","[0.0212, 0.0017]","[0.0104, 0.0005]","[0.0217, 0.0022]","[0.0514, 0.0037]","[0.0681, 0.0043]","[0.0815, 0.0046]","[0.0299, 0.0029]","[0.1387, 0.0059]"
