model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.2,Adam,"[0.062, 0.0029]","[0.0555, 0.0024]","[0.0508, 0.0021]","[0.0719, 0.0039]","[0.0365, 0.0013]","[0.1538, 0.0048]","[0.0474, 0.002]","[0.0397, 0.0015]","[0.0347, 0.0013]","[0.0619, 0.0029]","[0.0222, 0.0007]","[0.0633, 0.0036]","[0.136, 0.006]","[0.168, 0.0066]","[0.1932, 0.0069]","[0.0908, 0.0049]","[0.2992, 0.0081]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.2,Adam,"[0.0577, 0.0028]","[0.0515, 0.0023]","[0.0471, 0.002]","[0.0668, 0.0037]","[0.0334, 0.0012]","[0.1449, 0.0047]","[0.0438, 0.0018]","[0.0367, 0.0014]","[0.0321, 0.0011]","[0.0577, 0.0028]","[0.0197, 0.0006]","[0.0604, 0.0036]","[0.1318, 0.006]","[0.1607, 0.0065]","[0.1863, 0.0069]","[0.0889, 0.0049]","[0.2796, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.2,Adam,"[0.0611, 0.0029]","[0.0548, 0.0024]","[0.0502, 0.0021]","[0.0706, 0.0039]","[0.0362, 0.0013]","[0.1535, 0.0048]","[0.0471, 0.0019]","[0.0394, 0.0015]","[0.0345, 0.0013]","[0.0611, 0.0029]","[0.0222, 0.0007]","[0.0633, 0.0037]","[0.1363, 0.006]","[0.1665, 0.0065]","[0.1926, 0.007]","[0.0903, 0.0049]","[0.2992, 0.0081]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.2,Adam,"[0.0585, 0.0028]","[0.052, 0.0023]","[0.0474, 0.002]","[0.0686, 0.0039]","[0.0335, 0.0012]","[0.1451, 0.0048]","[0.0441, 0.0018]","[0.0365, 0.0014]","[0.0318, 0.0012]","[0.0571, 0.0028]","[0.0197, 0.0006]","[0.0619, 0.0037]","[0.1306, 0.0059]","[0.1611, 0.0065]","[0.1845, 0.0068]","[0.0863, 0.0048]","[0.2787, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.2,Adam,"[0.0601, 0.0029]","[0.054, 0.0024]","[0.0495, 0.0021]","[0.0696, 0.0039]","[0.0359, 0.0013]","[0.1518, 0.0047]","[0.0458, 0.0019]","[0.0391, 0.0015]","[0.0344, 0.0013]","[0.0598, 0.0029]","[0.022, 0.0007]","[0.0622, 0.0036]","[0.131, 0.0058]","[0.1649, 0.0065]","[0.1912, 0.007]","[0.0877, 0.0049]","[0.2975, 0.0081]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.2,Adam,"[0.0565, 0.0028]","[0.0504, 0.0023]","[0.046, 0.002]","[0.0661, 0.0038]","[0.0326, 0.0012]","[0.1424, 0.0047]","[0.0424, 0.0018]","[0.0359, 0.0014]","[0.031, 0.0011]","[0.0566, 0.0028]","[0.0193, 0.0006]","[0.0586, 0.0036]","[0.127, 0.0059]","[0.1592, 0.0065]","[0.1824, 0.0069]","[0.0869, 0.0049]","[0.2745, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.2,Adam,"[0.0539, 0.0027]","[0.0488, 0.0023]","[0.0451, 0.002]","[0.0616, 0.0036]","[0.0333, 0.0012]","[0.1402, 0.0045]","[0.0426, 0.0019]","[0.0364, 0.0015]","[0.0323, 0.0012]","[0.0528, 0.0027]","[0.021, 0.0007]","[0.0554, 0.0034]","[0.1205, 0.0057]","[0.152, 0.0062]","[0.1779, 0.0066]","[0.0776, 0.0046]","[0.2812, 0.0078]"
