model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.0581, 0.0028]","[0.0523, 0.0023]","[0.0481, 0.002]","[0.0666, 0.0038]","[0.0352, 0.0013]","[0.1483, 0.0046]","[0.0449, 0.0019]","[0.0384, 0.0015]","[0.0339, 0.0013]","[0.0584, 0.0029]","[0.0221, 0.0007]","[0.0587, 0.0035]","[0.1269, 0.0058]","[0.161, 0.0064]","[0.187, 0.0068]","[0.0848, 0.0048]","[0.2952, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.0563, 0.0028]","[0.0504, 0.0023]","[0.0461, 0.002]","[0.0652, 0.0037]","[0.033, 0.0012]","[0.1435, 0.0047]","[0.043, 0.0018]","[0.036, 0.0014]","[0.0313, 0.0011]","[0.0562, 0.0028]","[0.0198, 0.0006]","[0.0577, 0.0035]","[0.1284, 0.0059]","[0.1585, 0.0065]","[0.1822, 0.0069]","[0.0864, 0.0049]","[0.281, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.5,Adam,"[0.0583, 0.0028]","[0.0526, 0.0024]","[0.0485, 0.0021]","[0.0666, 0.0038]","[0.0356, 0.0013]","[0.1482, 0.0046]","[0.0458, 0.0019]","[0.0386, 0.0015]","[0.0344, 0.0013]","[0.0583, 0.0029]","[0.0223, 0.0008]","[0.0584, 0.0035]","[0.1295, 0.0058]","[0.1612, 0.0064]","[0.19, 0.0069]","[0.0848, 0.0048]","[0.2947, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.5,Adam,"[0.0572, 0.0028]","[0.0509, 0.0023]","[0.0464, 0.002]","[0.0667, 0.0038]","[0.033, 0.0012]","[0.1427, 0.0047]","[0.0427, 0.0018]","[0.036, 0.0014]","[0.0313, 0.0011]","[0.0569, 0.0028]","[0.0194, 0.0006]","[0.0611, 0.0036]","[0.1266, 0.0058]","[0.1578, 0.0064]","[0.1817, 0.0068]","[0.0868, 0.0049]","[0.2737, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.5,Adam,"[0.0528, 0.0027]","[0.0472, 0.0022]","[0.0432, 0.0019]","[0.061, 0.0036]","[0.0309, 0.0012]","[0.1331, 0.0046]","[0.0403, 0.0018]","[0.0336, 0.0014]","[0.0296, 0.0011]","[0.0532, 0.0028]","[0.0184, 0.0006]","[0.056, 0.0035]","[0.1188, 0.0057]","[0.1473, 0.0063]","[0.1705, 0.0067]","[0.0812, 0.0047]","[0.2581, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.5,Adam,"[0.0581, 0.0028]","[0.0524, 0.0023]","[0.0481, 0.002]","[0.0664, 0.0038]","[0.0353, 0.0013]","[0.1481, 0.0046]","[0.0453, 0.0019]","[0.0383, 0.0015]","[0.0338, 0.0013]","[0.0584, 0.0029]","[0.0222, 0.0008]","[0.059, 0.0035]","[0.128, 0.0058]","[0.1597, 0.0064]","[0.1856, 0.0068]","[0.0847, 0.0048]","[0.2948, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.5,Adam,"[0.0567, 0.0028]","[0.0506, 0.0023]","[0.0462, 0.0019]","[0.066, 0.0037]","[0.0329, 0.0012]","[0.1435, 0.0047]","[0.043, 0.0018]","[0.0359, 0.0014]","[0.0312, 0.0011]","[0.0564, 0.0028]","[0.0196, 0.0006]","[0.0613, 0.0037]","[0.1285, 0.0059]","[0.1601, 0.0065]","[0.1826, 0.0068]","[0.0863, 0.0049]","[0.2786, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.5,Adam,"[0.0533, 0.0027]","[0.0477, 0.0022]","[0.0436, 0.0019]","[0.0616, 0.0036]","[0.0312, 0.0012]","[0.1345, 0.0047]","[0.0409, 0.0018]","[0.0341, 0.0014]","[0.0298, 0.0011]","[0.0528, 0.0027]","[0.0186, 0.0006]","[0.0573, 0.0035]","[0.1202, 0.0057]","[0.1481, 0.0063]","[0.1712, 0.0067]","[0.0798, 0.0047]","[0.2594, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.5,Adam,"[0.0583, 0.0028]","[0.0527, 0.0023]","[0.0485, 0.002]","[0.0666, 0.0038]","[0.0355, 0.0013]","[0.1486, 0.0046]","[0.0459, 0.0019]","[0.0388, 0.0015]","[0.0343, 0.0013]","[0.0583, 0.0029]","[0.0224, 0.0008]","[0.0582, 0.0035]","[0.1306, 0.0059]","[0.1627, 0.0064]","[0.1883, 0.0068]","[0.0841, 0.0048]","[0.2964, 0.008]"
