model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,300,0.3,Adam,"[0.0431, 0.0023]","[0.0399, 0.0019]","[0.0376, 0.0017]","[0.0477, 0.0031]","[0.0304, 0.0011]","[0.0965, 0.0033]","[0.0358, 0.0016]","[0.0323, 0.0013]","[0.0299, 0.0011]","[0.0431, 0.0024]","[0.0224, 0.0007]","[0.0401, 0.0025]","[0.0652, 0.004]","[0.0862, 0.0045]","[0.1046, 0.0049]","[0.0416, 0.0033]","[0.1874, 0.0062]"
CDE-VAE,100,1e-05,,0.0005,300,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,1e-05,,0.001,300,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.0001,,0.0001,300,0.3,Adam,"[0.0417, 0.0023]","[0.0391, 0.0019]","[0.0371, 0.0017]","[0.0453, 0.003]","[0.0303, 0.0011]","[0.0961, 0.0032]","[0.036, 0.0016]","[0.0325, 0.0013]","[0.0303, 0.0011]","[0.0421, 0.0024]","[0.0227, 0.0007]","[0.0378, 0.0024]","[0.0665, 0.0041]","[0.0872, 0.0046]","[0.1062, 0.005]","[0.0401, 0.0032]","[0.1908, 0.0062]"
CDE-VAE,100,0.0001,,0.0005,300,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.0001,,0.001,300,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.0001,300,0.3,Adam,"[0.0421, 0.0023]","[0.039, 0.0019]","[0.0368, 0.0017]","[0.0463, 0.0031]","[0.0299, 0.0011]","[0.0936, 0.0032]","[0.0356, 0.0016]","[0.0318, 0.0013]","[0.0292, 0.0011]","[0.0413, 0.0023]","[0.0225, 0.0007]","[0.039, 0.0024]","[0.0638, 0.0039]","[0.0831, 0.0044]","[0.0993, 0.0048]","[0.0383, 0.0032]","[0.1828, 0.0061]"
CDE-VAE,100,0.001,,0.0005,300,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.001,300,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.01,,0.0001,300,0.3,Adam,"[0.0461, 0.0024]","[0.0429, 0.0021]","[0.0407, 0.0018]","[0.0515, 0.0033]","[0.0333, 0.0012]","[0.1021, 0.0033]","[0.0386, 0.0017]","[0.0353, 0.0015]","[0.0332, 0.0013]","[0.0452, 0.0025]","[0.0251, 0.0009]","[0.0422, 0.0026]","[0.068, 0.0041]","[0.0919, 0.0047]","[0.1118, 0.005]","[0.0399, 0.0032]","[0.199, 0.0063]"
