model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,1e-05,,0.0001,300,0.5,Adam,"[0.0415, 0.0023]","[0.0386, 0.0019]","[0.0364, 0.0016]","[0.0457, 0.0031]","[0.0293, 0.0011]","[0.0962, 0.0033]","[0.035, 0.0016]","[0.0315, 0.0013]","[0.0289, 0.0011]","[0.0401, 0.0023]","[0.0217, 0.0007]","[0.0386, 0.0024]","[0.0671, 0.0041]","[0.0886, 0.0046]","[0.1068, 0.005]","[0.0404, 0.0032]","[0.1899, 0.0063]"
CDE-VAE,200,1e-05,,0.0005,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,1e-05,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.0001,,0.0001,300,0.5,Adam,"[0.042, 0.0023]","[0.039, 0.0019]","[0.0369, 0.0017]","[0.0466, 0.0031]","[0.0298, 0.0011]","[0.0967, 0.0033]","[0.035, 0.0016]","[0.0319, 0.0013]","[0.0297, 0.0011]","[0.0415, 0.0023]","[0.0219, 0.0007]","[0.0395, 0.0025]","[0.0672, 0.0041]","[0.0891, 0.0046]","[0.1089, 0.005]","[0.042, 0.0033]","[0.1898, 0.0063]"
CDE-VAE,200,0.0001,,0.0005,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.0001,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.001,,0.0001,300,0.5,Adam,"[0.0426, 0.0023]","[0.0391, 0.0019]","[0.0367, 0.0017]","[0.048, 0.0031]","[0.0293, 0.0011]","[0.0954, 0.0033]","[0.0345, 0.0016]","[0.031, 0.0013]","[0.0285, 0.0011]","[0.042, 0.0023]","[0.0217, 0.0007]","[0.0392, 0.0025]","[0.0653, 0.004]","[0.086, 0.0046]","[0.1032, 0.0049]","[0.0414, 0.0033]","[0.1857, 0.0062]"
CDE-VAE,200,0.001,,0.0005,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.001,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.01,,0.0001,300,0.5,Adam,"[0.0483, 0.0025]","[0.045, 0.0021]","[0.0425, 0.0019]","[0.0537, 0.0034]","[0.0346, 0.0013]","[0.1072, 0.0034]","[0.0409, 0.0018]","[0.037, 0.0015]","[0.0339, 0.0013]","[0.0471, 0.0025]","[0.0258, 0.0009]","[0.0448, 0.0027]","[0.074, 0.0043]","[0.0974, 0.0048]","[0.1164, 0.0052]","[0.0448, 0.0034]","[0.2073, 0.0064]"
