model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,600,0.5,Adam,"[0.0273, 0.0018]","[0.0259, 0.0015]","[0.025, 0.0014]","[0.0293, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0254, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1514, 0.0057]"
CDE-VAE,100,1e-05,,0.0005,600,0.5,Adam,"[0.0054, 0.0008]","[0.005, 0.0007]","[0.0047, 0.0006]","[0.0063, 0.0012]","[0.0039, 0.0004]","[0.0101, 0.0008]","[0.0042, 0.0005]","[0.004, 0.0004]","[0.0038, 0.0004]","[0.005, 0.0008]","[0.0031, 0.0002]","[0.0035, 0.0005]","[0.0042, 0.0007]","[0.0062, 0.001]","[0.0089, 0.0013]","[0.0022, 0.0005]","[0.0207, 0.0021]"
CDE-VAE,100,1e-05,,0.001,600,0.5,Adam,"[0.0018, 0.0005]","[0.0019, 0.0004]","[0.0021, 0.0003]","[0.0021, 0.0006]","[0.0024, 0.0002]","[0.0083, 0.0008]","[0.0017, 0.0003]","[0.0023, 0.0003]","[0.0026, 0.0003]","[0.0016, 0.0004]","[0.0026, 0.0002]","[0.0022, 0.0005]","[0.0022, 0.0007]","[0.0043, 0.0009]","[0.0074, 0.0012]","[0.0012, 0.0006]","[0.0208, 0.0023]"
CDE-VAE,100,0.0001,,0.0001,600,0.5,Adam,"[0.0273, 0.0018]","[0.0259, 0.0015]","[0.025, 0.0014]","[0.0293, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0254, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1513, 0.0057]"
CDE-VAE,100,0.0001,,0.0005,600,0.5,Adam,"[0.0252, 0.0018]","[0.0235, 0.0015]","[0.0224, 0.0013]","[0.0281, 0.0024]","[0.0193, 0.0009]","[0.0593, 0.0025]","[0.0211, 0.0012]","[0.0195, 0.001]","[0.0187, 0.0009]","[0.0251, 0.0018]","[0.0163, 0.0006]","[0.0226, 0.0017]","[0.0325, 0.0028]","[0.0448, 0.0032]","[0.058, 0.0037]","[0.0213, 0.0024]","[0.1205, 0.005]"
CDE-VAE,100,0.0001,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.0001,600,0.5,Adam,"[0.0275, 0.0018]","[0.0261, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0715, 0.0027]","[0.0242, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.0464, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1514, 0.0057]"
CDE-VAE,100,0.001,,0.0005,600,0.5,Adam,"[0.0274, 0.0018]","[0.026, 0.0015]","[0.025, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.0239, 0.0013]","[0.0226, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.0448, 0.0035]","[0.0598, 0.0039]","[0.0754, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,100,0.001,,0.001,600,0.5,Adam,"[0.021, 0.0015]","[0.0218, 0.0013]","[0.0221, 0.0012]","[0.0197, 0.0019]","[0.0205, 0.0009]","[0.0596, 0.0023]","[0.0226, 0.0013]","[0.0235, 0.0011]","[0.0227, 0.001]","[0.0218, 0.0016]","[0.0165, 0.0006]","[0.0217, 0.0015]","[0.0406, 0.0033]","[0.0638, 0.004]","[0.0771, 0.0043]","[0.0225, 0.0025]","[0.1241, 0.0052]"
CDE-VAE,100,0.01,,0.0001,600,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
