model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.0001,600,0.2,Adam,"[0.8179, 0.0051]","[0.8068, 0.0048]","[0.7947, 0.0048]","[0.8299, 0.0058]","[0.5644, 0.0027]","[0.7975, 0.0049]","[0.7758, 0.0049]","[0.7454, 0.0051]","[0.8189, 0.0053]","[0.4526, 0.0031]","[0.2685, 0.0026]","[0.386, 0.0033]","[0.4847, 0.0036]","[0.1401, 0.0017]"
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.0001,600,0.2,Adam,"[0.7703, 0.0056]","[0.76, 0.0052]","[0.7488, 0.005]","[0.7815, 0.0065]","[0.5298, 0.0026]","[0.7513, 0.0052]","[0.7306, 0.0049]","[0.7045, 0.005]","[0.7726, 0.0058]","[0.4235, 0.003]","[0.2496, 0.0024]","[0.3613, 0.0031]","[0.4573, 0.0035]","[0.1297, 0.0016]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.0001,600,0.2,Adam,"[0.6673, 0.0061]","[0.6553, 0.0057]","[0.6445, 0.0054]","[0.6799, 0.0072]","[0.4465, 0.0023]","[0.6446, 0.0055]","[0.6233, 0.0053]","[0.6054, 0.0052]","[0.6684, 0.0064]","[0.3527, 0.0024]","[0.2076, 0.002]","[0.2968, 0.0024]","[0.38, 0.0027]","[0.1084, 0.0014]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.1,1,,0.0001,600,0.2,Adam,"[0.5799, 0.0068]","[0.5745, 0.0063]","[0.5697, 0.0061]","[0.5878, 0.0078]","[0.3882, 0.0022]","[0.5693, 0.0062]","[0.5603, 0.0059]","[0.5529, 0.0057]","[0.5797, 0.007]","[0.3078, 0.0019]","[0.1723, 0.0015]","[0.2529, 0.0018]","[0.3311, 0.002]","[0.0879, 0.0011]"
