model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.8397, 0.0048]","[0.8245, 0.0047]","[0.8096, 0.0047]","[0.858, 0.0054]","[0.5732, 0.0028]","[0.8101, 0.0048]","[0.7833, 0.0049]","[0.7502, 0.0051]","[0.8429, 0.005]","[0.4576, 0.0031]","[0.2744, 0.0027]","[0.3905, 0.0034]","[0.4874, 0.0036]","[0.1463, 0.0018]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.5,Adam,"[0.7679, 0.0055]","[0.7533, 0.0051]","[0.7387, 0.005]","[0.7815, 0.0064]","[0.5166, 0.0025]","[0.7429, 0.0051]","[0.7121, 0.005]","[0.684, 0.0051]","[0.774, 0.0057]","[0.4098, 0.0027]","[0.2467, 0.0024]","[0.3493, 0.0029]","[0.4399, 0.0032]","[0.1305, 0.0016]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.5,Adam,"[0.8164, 0.0054]","[0.8058, 0.0051]","[0.7957, 0.005]","[0.8272, 0.0061]","[0.5652, 0.0026]","[0.7958, 0.0052]","[0.7783, 0.0051]","[0.7529, 0.0051]","[0.821, 0.0055]","[0.4531, 0.0031]","[0.2643, 0.0024]","[0.3841, 0.0032]","[0.4889, 0.0036]","[0.1383, 0.0016]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.5,Adam,"[0.6263, 0.0065]","[0.6155, 0.0061]","[0.6069, 0.0058]","[0.6419, 0.0076]","[0.4161, 0.0023]","[0.6034, 0.006]","[0.5883, 0.0057]","[0.5762, 0.0056]","[0.624, 0.0068]","[0.3278, 0.0021]","[0.1877, 0.0018]","[0.2719, 0.0021]","[0.3521, 0.0023]","[0.0985, 0.0013]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.5,Adam,"[0.5381, 0.0072]","[0.5341, 0.0068]","[0.5307, 0.0066]","[0.5428, 0.0083]","[0.3537, 0.0024]","[0.5304, 0.0066]","[0.5235, 0.0063]","[0.5189, 0.0062]","[0.5388, 0.0075]","[0.2799, 0.0019]","[0.1543, 0.0014]","[0.2275, 0.0017]","[0.2993, 0.0018]","[0.0785, 0.0011]"
