model,F-MAP@5,F-MAP@10,F-MAP@20
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.014285714285714284,0.007142857142857131
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.19666666666666666,0.16718253968253968,0.10724934271954396
CE-VNCF,0.0,0.0,-0.0029411764705882327
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2566666666666666,0.1394444444444446,0.07222222222222219
CE-VNCF,0.16666666666666652,0.11694444444444453,0.08996414833876143
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.06666666666666654,0.031230158730158556,0.028511067106268276
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.1166666666666667,0.058333333333333286,0.050046961767163056
CE-VNCF,0.15666666666666665,0.1092857142857143,0.05464285714285716
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.002631578947368421
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2066666666666667,0.08083333333333331,0.05401260504201677
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.4133333333333333,0.2812301587301587,0.1841862252814266
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.20000000000000007,0.1815079365079365,0.10401154401154412
CE-VNCF,0.0,0.0,0.0025
CE-VNCF,0.16666666666666666,0.09333333333333332,0.0804467958512076
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.011111111111111113,-0.005919977640178875
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.044536708131909325
CE-VNCF,0.0,0.0,0.0033639021796916524
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.04345238095238094,-0.02300636347656473
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.040000000000000015,0.06345238095238095,0.031726190476190484
CE-VNCF,0.05000000000000005,-0.005952380952380931,0.05448568158707468
CE-VNCF,0.0,0.0,0.03787084840683908
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.0025
CE-VNCF,0.0,-0.04789682539682538,-0.005714062339449322
CE-VNCF,0.0,0.0,-0.0025
CE-VNCF,0.0,0.0,0.0025
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.011111111111111129,0.03749099949757845
CE-VNCF,0.0,-0.02361111111111111,-0.011805555555555557
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.011111111111111113,0.005555555555555557
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.05000000000000005,-0.025000000000000026,-0.014445837100635904
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.02361111111111111,-0.022656088751289983
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.00999999999999998,0.009367690058479566
CE-VNCF,0.040000000000000036,0.01999999999999991,0.0024680384974500318
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.019841269841269854,0.024032999164578184
CE-VNCF,0.0,0.0,-0.007417582417582422
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.039999999999999925,0.030000000000000027,-0.013893115613316798
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.09,0.030714285714285694,0.03086184648684653
