model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0001,600,0.4,Adam,"[0.0424, 0.0023]","[0.0393, 0.0019]","[0.037, 0.0017]","[0.0472, 0.0031]","[0.0299, 0.0011]","[0.0944, 0.0033]","[0.0355, 0.0016]","[0.0319, 0.0013]","[0.0295, 0.0011]","[0.0416, 0.0024]","[0.0221, 0.0007]","[0.0388, 0.0024]","[0.0656, 0.004]","[0.0846, 0.0045]","[0.1018, 0.0049]","[0.0409, 0.0033]","[0.1821, 0.0061]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0001,600,0.4,Adam,"[0.0426, 0.0023]","[0.0397, 0.0019]","[0.0375, 0.0017]","[0.0469, 0.0031]","[0.0303, 0.0011]","[0.0955, 0.0033]","[0.0362, 0.0016]","[0.0325, 0.0013]","[0.03, 0.0012]","[0.0418, 0.0023]","[0.0224, 0.0007]","[0.0397, 0.0025]","[0.0671, 0.0041]","[0.0879, 0.0046]","[0.1051, 0.005]","[0.0407, 0.0033]","[0.1856, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0001,600,0.4,Adam,"[0.042, 0.0023]","[0.0392, 0.0019]","[0.0371, 0.0017]","[0.0461, 0.0031]","[0.03, 0.0011]","[0.0949, 0.0033]","[0.0363, 0.0017]","[0.0322, 0.0013]","[0.0297, 0.0012]","[0.0414, 0.0023]","[0.0223, 0.0007]","[0.0389, 0.0025]","[0.0666, 0.0041]","[0.0877, 0.0046]","[0.1047, 0.005]","[0.0402, 0.0033]","[0.185, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0001,600,0.4,Adam,"[0.0412, 0.0023]","[0.0384, 0.0019]","[0.0365, 0.0017]","[0.0458, 0.0031]","[0.0299, 0.0011]","[0.093, 0.0031]","[0.0348, 0.0016]","[0.032, 0.0013]","[0.0297, 0.0011]","[0.0405, 0.0023]","[0.0226, 0.0008]","[0.0363, 0.0023]","[0.0618, 0.0039]","[0.0826, 0.0044]","[0.1023, 0.0048]","[0.0377, 0.0031]","[0.1822, 0.0061]"
