model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.0426, 0.0023]","[0.0397, 0.002]","[0.0375, 0.0017]","[0.047, 0.0032]","[0.0305, 0.0011]","[0.0968, 0.0033]","[0.0363, 0.0017]","[0.0325, 0.0014]","[0.0303, 0.0012]","[0.042, 0.0024]","[0.0229, 0.0008]","[0.0396, 0.0025]","[0.0672, 0.0041]","[0.0873, 0.0046]","[0.1071, 0.005]","[0.0407, 0.0033]","[0.1896, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,600,0.5,Adam,"[0.0417, 0.0023]","[0.039, 0.0019]","[0.037, 0.0017]","[0.0458, 0.0031]","[0.0301, 0.0011]","[0.0961, 0.0033]","[0.0357, 0.0016]","[0.0324, 0.0013]","[0.03, 0.0011]","[0.0424, 0.0024]","[0.0226, 0.0007]","[0.0391, 0.0025]","[0.0654, 0.004]","[0.0875, 0.0046]","[0.1061, 0.005]","[0.0405, 0.0033]","[0.1888, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,600,0.5,Adam,"[0.0426, 0.0023]","[0.0399, 0.0019]","[0.0379, 0.0017]","[0.0469, 0.0031]","[0.0308, 0.0011]","[0.0972, 0.0033]","[0.0365, 0.0016]","[0.0331, 0.0013]","[0.0309, 0.0012]","[0.042, 0.0024]","[0.0229, 0.0007]","[0.04, 0.0025]","[0.066, 0.0041]","[0.0884, 0.0046]","[0.1069, 0.0049]","[0.04, 0.0033]","[0.1914, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,600,0.5,Adam,"[0.0414, 0.0023]","[0.0388, 0.0019]","[0.0368, 0.0017]","[0.0451, 0.003]","[0.0298, 0.0011]","[0.0947, 0.0032]","[0.0357, 0.0016]","[0.0324, 0.0013]","[0.0297, 0.0012]","[0.0406, 0.0023]","[0.0222, 0.0007]","[0.0381, 0.0024]","[0.0661, 0.0041]","[0.0871, 0.0046]","[0.1037, 0.0049]","[0.0414, 0.0034]","[0.1863, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,600,0.5,Adam,"[0.0421, 0.0023]","[0.0394, 0.0019]","[0.0374, 0.0017]","[0.0461, 0.0031]","[0.0305, 0.0011]","[0.0962, 0.0033]","[0.0365, 0.0017]","[0.0328, 0.0013]","[0.0303, 0.0012]","[0.042, 0.0024]","[0.023, 0.0008]","[0.0393, 0.0024]","[0.0671, 0.0041]","[0.0871, 0.0046]","[0.1043, 0.0049]","[0.0414, 0.0033]","[0.1878, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,600,0.5,Adam,"[0.0363, 0.0022]","[0.0339, 0.0018]","[0.0322, 0.0016]","[0.0398, 0.0029]","[0.0264, 0.0011]","[0.0771, 0.0029]","[0.031, 0.0016]","[0.028, 0.0013]","[0.0264, 0.0011]","[0.0356, 0.0022]","[0.0202, 0.0008]","[0.032, 0.0021]","[0.051, 0.0035]","[0.0667, 0.004]","[0.0816, 0.0043]","[0.0307, 0.0028]","[0.1455, 0.0054]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,600,0.5,Adam,"[0.0412, 0.0023]","[0.0385, 0.0019]","[0.0366, 0.0017]","[0.0458, 0.0031]","[0.0298, 0.0011]","[0.0939, 0.0032]","[0.0348, 0.0016]","[0.0321, 0.0013]","[0.0297, 0.0011]","[0.0399, 0.0023]","[0.0223, 0.0007]","[0.0382, 0.0025]","[0.0631, 0.0039]","[0.086, 0.0046]","[0.1044, 0.0049]","[0.0378, 0.0032]","[0.1835, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0005,600,0.5,Adam,"[0.024, 0.0017]","[0.0226, 0.0015]","[0.0217, 0.0013]","[0.0259, 0.0023]","[0.0185, 0.0009]","[0.0507, 0.0021]","[0.0211, 0.0012]","[0.0194, 0.001]","[0.0185, 0.0009]","[0.0235, 0.0018]","[0.0145, 0.0006]","[0.0203, 0.0015]","[0.0286, 0.0024]","[0.0403, 0.0029]","[0.0508, 0.0033]","[0.0163, 0.0018]","[0.1013, 0.0046]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,600,0.5,Adam,"[0.0396, 0.0022]","[0.0374, 0.0019]","[0.0358, 0.0017]","[0.0427, 0.003]","[0.0297, 0.0011]","[0.0903, 0.003]","[0.0349, 0.0016]","[0.0322, 0.0014]","[0.0299, 0.0012]","[0.0396, 0.0023]","[0.0228, 0.0008]","[0.0354, 0.0022]","[0.0598, 0.0037]","[0.0809, 0.0043]","[0.0989, 0.0047]","[0.0351, 0.0029]","[0.1788, 0.006]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,600,0.5,Adam,"[0.0318, 0.002]","[0.0301, 0.0017]","[0.0289, 0.0015]","[0.0343, 0.0027]","[0.0243, 0.001]","[0.074, 0.0027]","[0.0281, 0.0015]","[0.026, 0.0012]","[0.0244, 0.001]","[0.0316, 0.0021]","[0.0191, 0.0007]","[0.029, 0.002]","[0.0475, 0.0033]","[0.0655, 0.0039]","[0.0803, 0.0042]","[0.0274, 0.0026]","[0.1475, 0.0056]"
